on_cpu,new_cpu,old_cpu,pid,jiffies
7,20,7,2552608,4298926966
20,9,20,2552604,4298926966
7,7,9,2552473,4298926967
9,9,1,2552499,4298926969
9,9,6,2552472,4298926969
13,13,7,2552473,4298926968
13,9,13,2552618,4298926969
20,20,16,2552490,4298926967
20,20,13,2552473,4298926969
21,21,9,1913,4298926967
21,9,21,2552617,4298926969
13,9,13,2552623,4298926970
13,13,9,2551786,4298926970
0,13,0,2552627,4298926970
5,5,20,2552473,4298926970
6,9,6,2552626,4298926970
13,9,13,2551786,4298926970
21,21,9,2552471,4298926970
8,9,8,16,4298926971
9,9,1,2552614,4298926971
9,9,20,2552490,4298926971
9,9,8,2552634,4298926971
13,13,9,2552472,4298926971
20,9,20,2552625,4298926971
9,9,20,2552631,4298926971
9,9,21,2552471,4298926971
9,9,1,2552637,4298926971
5,5,9,2552471,4298926972
6,9,6,2552635,4298926972
15,20,15,2552636,4298926972
20,9,20,2552632,4298926972
9,9,0,2552629,4298926972
1,6,1,2552640,4298926973
2,2,9,2552499,4298926973
6,9,6,2551813,4298926973
6,6,9,2551786,4298926973
6,6,13,2552472,4298926973
20,20,5,2552473,4298926973
6,6,12,2552645,4298926973
6,6,5,2552643,4298926973
6,6,12,2552646,4298926973
3,3,6,2552472,4298926974
6,6,9,2552629,4298926973
6,6,20,2552648,4298926973
6,6,2,2552499,4298926973
6,15,6,2552651,4298926974
6,6,3,2552472,4298926974
21,21,9,2552490,4298926974
0,6,0,2552659,4298926975
3,2,3,2552657,4298926975
9,9,6,2552654,4298926975
12,6,12,2552653,4298926975
15,15,6,2552650,4298926975
20,6,20,2552652,4298926975
20,20,6,2551786,4298926975
20,20,6,2552652,4298926975
21,21,6,2552472,4298926975
6,6,0,2552662,4298926975
20,6,20,2551786,4298926975
14,14,15,2552650,4298926976
0,6,0,2552664,4298926976
2,2,20,2552473,4298926976
5,5,21,1913,4298926977
6,6,21,2552472,4298926976
8,8,2,2552473,4298926977
9,3,9,2552665,4298926977
14,14,6,2552499,4298926976
6,6,3,2552665,4298926977
6,6,0,2552666,4298926977
6,6,5,2552681,4298926977
6,6,12,2552661,4298926977
6,6,5,2552682,4298926977
6,6,3,2552684,4298926977
6,6,3,2552686,4298926978
6,3,6,2552686,4298926978
1,1,12,2552685,4298926978
1,1,3,2552688,4298926978
1,1,12,2552687,4298926978
6,6,3,2552686,4298926978
6,6,8,2552473,4298926978
6,6,21,2552490,4298926979
1,1,6,2552473,4298926979
6,6,9,2552701,4298926979
6,6,1,2552698,4298926979
6,6,3,2552700,4298926979
6,6,12,2552699,4298926979
6,6,1,2552473,4298926979
12,12,6,2552473,4298926980
1,1,6,2552709,4298926980
1,1,6,2552490,4298926980
1,1,12,2552473,4298926980
6,6,1,2552712,4298926980
6,6,7,2552716,4298926980
6,6,4,2552717,4298926980
1,1,12,2552715,4298926980
6,6,4,2552721,4298926980
6,6,3,2552713,4298926980
1,1,6,2552716,4298926980
1,1,6,2552717,4298926980
1,1,6,2552712,4298926980
1,1,3,2552723,4298926980
1,1,9,2552729,4298926980
1,1,9,2552731,4298926981
1,1,4,2551818,4298926981
3,3,1,2552723,4298926981
3,4,3,2551803,4298926981
3,3,1,2552490,4298926981
3,3,6,2552472,4298926981
3,3,9,2552734,4298926981
3,3,1,2552731,4298926981
4,4,1,2552729,4298926981
6,6,4,2552725,4298926980
6,6,1,2552473,4298926980
6,6,1,2552722,4298926981
3,3,1,2552746,4298926981
3,3,6,2552472,4298926981
3,6,3,2552472,4298926981
6,6,3,2552472,4298926981
3,3,1,2552751,4298926982
3,3,20,2552473,4298926982
6,6,3,2552748,4298926982
6,6,9,2552753,4298926982
20,20,6,2552473,4298926982
3,3,6,2552472,4298926982
3,3,6,2552748,4298926982
3,3,9,2552755,4298926982
3,6,3,2552758,4298926982
3,3,1,2552756,4298926982
3,3,1,2552760,4298926982
3,3,13,2552754,4298926982
3,3,13,2552761,4298926982
6,6,1,2552752,4298926982
6,6,9,2552757,4298926982
6,6,3,2552473,4298926982
6,6,3,2552755,4298926982
6,6,3,2552760,4298926982
6,6,3,2552756,4298926982
6,6,3,2552472,4298926982
3,3,13,2552763,4298926982
3,3,6,2552472,4298926983
3,3,4,2552765,4298926983
4,12,4,2552745,4298926983
6,6,3,2552761,4298926982
6,3,6,2552766,4298926983
6,6,3,2552472,4298926983
6,6,14,2552499,4298926983
6,6,3,2552771,4298926983
